Region_ID,District_ID,Village_ID,Lat,Long,alokasi_unit
1217,121702,1203011001,2.474127860689426,98.94631628005035,10
1217,121701,1201112004,2.4881544799273065,98.96466101197426,10
1217,121701,1217012014,2.572961553207904,98.85744584370488,10
1217,121704,1217042009,2.5037344974566307,98.86634421081898,10
1217,121704,1202032003,2.6655571686719526,98.74177813462958,10
1217,121705,1217052002,2.5258898099519125,98.58039038350341,10
1217,121705,1217052008,2.557427320649462,98.6507481175979,4
1217,121705,1217052011,2.5342213032397636,98.66305392790409,6
1207,120726,1207262009,3.677228560600605,98.75777716081565,17
1207,120726,1207262014,3.727821195178918,98.74667677282685,11
1207,120726,1207262010,3.663796851884726,98.7178646472133,10
1207,120733,1207332011,3.6072877320215824,98.86030325607834,17
1207,120733,1207332010,3.616422078708541,98.89062350954327,17
1207,120732,1207322017,3.681205603189734,98.85111744341027,21
1207,120732,1207322004,3.68792975686725,98.85529016683569,18
1207,120732,1207322012,3.6366575091474074,98.92093681488777,16
1207,120702,1207022025,3.549277176505403,98.83105711421915,16
1207,120725,1205092010,3.891981892793985,98.65637252315767,20
1207,120724,1207242016,3.737326426666686,98.5469708921694,30
1207,120724,1207242007,3.7489217983982086,98.57464261058016,13
1207,120724,1207242018,3.819478973486723,98.59163812590448,11
1207,120724,1207242015,3.786303802042312,98.55222542396159,15
1207,120724,1207242020,3.856353310975536,98.65821147430303,29
1207,120724,1207242017,3.7599855829937385,98.55656439580956,32
1207,120723,1207232010,3.5937226175582677,98.56731850477162,17
1207,120719,1207192025,3.439961694152142,98.86718008676154,17
1207,120731,1207312016,3.5880321068329843,98.91222272194968,17
1207,120731,1207312014,3.620093606090205,98.91768149101604,9
1207,120731,1207312008,3.5180474058080127,98.92535854127358,10
1215,121501,1215012009,2.6706736311238917,98.12807813247531,15
1215,121501,1207032001,2.5843733156408737,98.17857192474769,15
1215,121501,1215012001,2.6745080671480617,98.21821976642589,19
1215,121502,1215022014,2.6058190781832478,98.29060406956943,14
1215,121503,1215032013,2.492563776487292,98.293242282083,15
1215,121503,1215032014,2.5192208730463608,98.33083986036934,19
1215,121508,1215082002,2.5919419527632916,98.37532386031216,16
1215,121508,1215082001,2.5499843345211812,98.40698104369741,15
1215,121508,1215082004,2.5459712517831323,98.44424686034857,15
1215,121508,1215082003,2.578907070078608,98.42803369628335,9
1215,121508,1215082005,2.61383917619477,98.40272632271768,21
1215,121508,1215082006,2.5570178440022877,98.36469027832385,12
1215,121504,1201112004,2.6220604996335943,98.31881762065964,15
1202,120201,1202012027,2.1012911870249353,99.0071262823125,10
1202,120201,1202012025,2.103516958092538,98.99411832199229,10
1202,120214,1202142008,2.0387771509620247,99.40818800642235,20
1202,120214,1202142012,1.982354131508798,99.28269286859786,10
1202,120209,1202012025,2.2210893591129253,98.94485386180713,11
1202,120209,1202092013,2.2298431779578016,99.09062362245413,11
1202,120209,1202091001,2.2149813477330493,98.98187349140122,8
1202,120205,1212022019,1.8392003809463617,99.09570400953092,10
1202,120205,1202052019,1.9292493376589588,99.0652622473271,10
1202,120206,1202062011,1.841608004868981,99.20209026728004,11
1202,120210,1202102008,2.182833579019761,98.92340587542508,11
1202,120210,1202102004,2.155096467295316,98.93037052555002,10
1202,120202,1202022011,1.9837670805092036,99.02835125047625,10
1202,120204,1202042009,2.072339108672554,98.9089237288536,10
1202,120207,1202072003,1.6850910428640051,99.18286489326508,10
1202,120212,1201071001,2.1800415931394683,99.15157787370107,10
1202,120208,1202082005,2.3322685521008144,98.9123040812375,10
1202,120215,1202152010,2.3313580875785918,98.92366779646102,10
1212,121201,1212012031,2.3053894969903403,99.11206165458992,10
1212,121201,1212011034,2.3275591117923744,99.07552398164508,10
1212,121222,1212222004,2.3134981379218007,99.01996802718644,10
1212,121202,1212022019,2.381929312405046,99.14604703678607,10
1212,121202,1212022003,2.313692152599695,99.17372410513306,10
1212,121220,1212202008,2.4239499071009822,99.20131529022333,10
1212,121220,1212202003,2.4332524813552827,99.1800631105999,10
1212,121220,1212202002,2.4320550317378493,99.18418022880358,10
1212,121203,1201112004,2.343892709459351,99.22035574884904,10
1212,121203,1212032003,2.3760065402847936,99.23200554710644,10
1212,121203,1212032006,2.3580814111850614,99.2351602117852,10
1212,121207,1212072031,2.434547423594813,99.15812638186205,10
1212,121207,1212071039,2.4397247222702196,99.15087501297427,10
1212,121207,1212072033,2.4396685680442403,99.15829791176601,10
1212,121207,1212072030,2.446731392629069,99.16313639366182,10
1212,121207,1212072023,2.5176988380595082,99.15228734604162,10
1212,121223,1212232013,2.521631127734824,99.12754248395046,10
1212,121223,1212232007,2.520811013513461,99.16182833989438,10
1212,121205,1212052002,2.529466758355462,99.42991631484747,10
1212,121221,1212212003,2.294674734327374,99.4181256965521,10
1271,127110,1271101006,3.57997266606667,98.69616178851861,12
1271,127110,1271101008,3.5752366833647793,98.69324639811438,10
1271,127108,1271081005,3.7612805500687827,98.65168489218873,32
1271,127108,1271081001,3.7860480177717593,98.68783592084083,10
1271,127108,1271081006,3.7836960384608473,98.70939997783036,17
1271,127108,1271081002,3.777003807164946,98.68757822434165,13
1271,127118,1219062017,3.593887119014709,98.70389505181838,7
1271,127112,1271121002,3.706646071561583,98.66511252781473,12
1271,127112,1271121003,3.705805800108263,98.63836170267825,19
1271,127112,1271121001,3.738274629824675,98.6686536640197,11
1271,127113,1271131001,3.7416619763348575,98.67615947541722,24
1271,127113,1271131005,3.751802972009542,98.68723827966348,20
1276,127605,1276051005,3.3344247779455674,99.15735090438925,19
1276,127602,1220042012,3.3454686004229517,99.16182694946396,3
1276,127602,1276021012,3.35155356548783,99.17859634574404,21
1276,127602,1276021013,3.3704794418164665,99.17116146285339,1
1276,127602,1276021007,3.342095997805228,99.15023479019986,1
1276,127601,1276011006,3.313576645550316,99.15452416973318,9
1276,127601,1211072008,3.3119615856078153,99.1483675559732,13
1276,127601,1276011012,3.3136095930645393,99.14098475845552,10
1276,127604,1276041004,3.3439570334338824,99.14063925842262,5
1276,127604,1201022007,3.320635446963211,99.14348314813562,2
1276,127603,1276031002,3.347328527982601,99.18485825845592,11
1276,127603,1275021002,3.3317803100356356,99.16948301576525,3
1276,127603,1201182002,3.321149828876313,99.1801993157652,4
