1. SAMOSIR,,,,,,,,,,
Nama Kawasan (area_name),Lingkungan (environment),Kelurahan (villages),Kecamatan (district_id),Kabupaten/Kota (region_id),Total Luas (total_area),Total Penduduk (total_population),Tingkat Kekumuhan (slum_value),Tahun (year_inspected),Latitude,Longitude
Pangkalan Dodek Baru,"Lingkungan 2, 3",Pangkalan Dodek baru,121901,1219,7.31,1955,38,2022,3.41149877241617,99.3170010562791
Kwala Indah,Dusun 4,Desa Kwala Indah,121902,1219,7.4,1845,66,2022,3.34474444869853,99.4697954894802
Nenas Siam,"Dusun 1, 2, 5, 8",Desa Nenas Siam,121901,1219,10.6,2000,49,2022,3.4086513905768,99.3316422200895
Bagan Arya,Dusun 10 dan 11,Bagan Arya,121906,1219,11.02,3330,43,2022,3.22377740663043,99.5873277599458
Suka Maju,"Dusun 11, 12, 5, 8, 9",Desa Suka Maju,121906,1219,11.06,5275,48,2022,3.21591521333186,99.5838699018721
Pahlawan,"Dusun 1, 2, 3, 4, 7,  Dusun Bogak,  Dusun Lobak Abas,  Dusun Wan Ahmad,  Dusun Bunga Jumpa",Desa Pahlawan,121906,1219,11.29,4525,40,2022,3.22170307654227,99.5809279884869
Pagurawan ,"Lingkungan 1, 2, 3 dan 4",Pagurawan,121901,1219,11.43,3510,45,2022,3.40854200142122,99.3156232966531
Tanjung Tiram-Suka Jaya,Kawasan Tanjung Tiram,Tanjung Tiram,121906,1219,16.19,7840,39,2022,3.21996757496333,99.5869990196709
Kwala Sikasim,"Dusun 5, 7, 8, 3, 4, 6",Desa Kwala Sikasim,121907,1219,15.28,2920,26,2022,3.13426892137087,99.5994517778548
Indra Yaman,"Dusun 10, 4, 5, 6, 7, 8, 9",Desa Indra Yaman,121905,1219,17.12,5290,35,2022,3.21606107928584,99.5752478753683
Lalang,"Dusun Mesjid Barat, Tasak Lama",Desa Lalang,121901,1219,26.22,5820,30,2022,3.36394759756193,99.4130828288759
Dahari Silebar,"Dusun Kembang Tanjung, Kuba sabun, Kubah nibung, Landas, Lobaisondang, Mambang sugara, Mambang sugra, Pasaran Benteng sungai, Pemerintah desa, Pestatapai",Desa Dahari Silebar,121905,1219,30.61,3030,24,2022,3.22616144232151,99.5481296710136
,,,,,,,,,,
10. LABUHAN BATU UTARA,,,,,,,,,,
Aek Kanopan Timur,"Lingkungan 2, 3",Aek Kanopan Timur,122301,1223,6.86,0,24,2023,2.56939371,99.65632178
Gunting Saga,"Lingkungan 3, 4, 5",Gunting Saga,122308,1223,5.20,0,26,2023,2.52675622,99.65971152
Kampung Mesjid,"Lingkungan Pasar Bilah 1a, Pekan 2, Pulo",Kampung Mesjid,122303,1223,13.23,0,31,2023,2.57929520,100.0122587
Kampung Pajak,"Dusun 1d, 1e, 1g",Kampung Pajak,122306,1223,14.67,0,26,2023,2.30031103,99.74296736
Kuala Bangka,Dusun Kampung Jawa,Kuala Bangka,122303,1223,6.35,0,47,2023,2.50860612,99.95160859
Merbau,"Lingkungan 1, 2, 4",Merbau,122305,1223,16.45,0,31,2023,2.56939371,99.65632178
Pangkalan Lunang,"Dusun 1B, 2, Sidorukun",Pangkalan Lunang,122302,1223,21.94,0,33,2023,2.76954679,99.93996237
Simandulang,Dusun Simandulang,Simandulang,122302,1223,3.58,0,66,2023,2.56939371,99.65632178
Tanjung Leidong,"Lingkungan Kp. Baru 1, 2, 3, 4, Pekan 1, 2, 3, Sei Semburung",Tanjung Leidong,122302,1223,31.04,0,53,2023,2.7573195,99.97967975
,,,,,,,,,,
12. DAIRI,,,,,,,,,,
Belang Malum,"Dusun 2,3 dan 5",Belang Malum,121101,1211,18.48,0,31,2023,2.7451950,98.3110347
Kalang,"Dusun 3, 4 dan 5",Kalang,121101,1211,18.97,0,28,2023,2.7591233,98.3029903
Kalang Ujung II,Dusun 6,Kalang,121101,1211,13.26,0,18,2023,2.7708700,98.3012481
Sidikalang,"Lingkungan 1,2,3,4,5,6 dan 7",Kuta Gambir,121101,1211,25.41,0,28,2023,2.7493275,98.3041106
Kuta Padang,Lingkungan 2,Sidiangkat,121101,1211,3.25,0,34,2023,2.7301081,98.3189939
Sidiangkat,Lingkungan 1 dan 3,Sidiangkat,121101,1211,6.71,0,31,2023,2.7255711,98.3210331
Sidikalang I,Lingkungan 13,Sidikalang,121101,1211,13.04,0,16,2023,2.7543783,98.3062447
Sidikalang II,Lingkungan 16,Sidikalang,121101,1211,1.21,0,19,2023,2.7531842,98.3037253
Lae Pinang II,Dusun 1,Bintang,121101,1211,8.10,0,19,2023,2.7750661,98.3174811
Lae Pinang I,Dusun 2,Bintang,121101,1211,3.53,0,22,2023,2.7847442,98.3077692
Lae Pinang III,Dusun 2,Bintang,121101,1211,0.67,0,21,2023,2.7868503,98.3085406
Pinang Iv,Dusun 2,Bintang,121101,1211,1.16,0,24,2023,2.7873925,98.3058125
Kuta Lama,Dusun 3,Bintang,121101,1211,5.40,0,16,2023,2.7811531,98.3145028
Jumatakar,Dusun 4,Bintang,121101,1211,5.48,0,20,2023,2.7732089,98.3259561
Lae Pancur,Dusun 5,Bintang,121101,1211,7.00,0,33,2023,2.7758831,98.3274856
Pancuran Asri,Lingkungan 1,Bintang Hulu,121101,1211,6.45,0,17,2023,2.7539514,98.3402728
Tambunan Indah,Lingkungan 2,Bintang Hulu,121101,1211,1.05,0,29,2023,2.7596756,98.3391936
Bintang Selamat,Lingkungan 3,Bintang Hulu,121101,1211,0.96,0,28,2023,2.7642514,98.3392867
Rimo Bunga,Lingkungan 4,Bintang Hulu,121101,1211,2.22,0,26,2023,2.7634875,98.3377847
Komplek Mesjid,Dusun 1,BintangMersada,121101,1211,7.19,0,22,2023,2.7572653,98.3121983
Bintang Silindung,Dusun 2,Bintang Mersada,121101,1211,4.99,0,19,2023,2.7572125,98.3151125
Kuta Rih,Dusun 3,Bintang Mersada,121101,1211,3.00,0,39,2023,2.7563856,98.3193317
Permasen,Dusun 4,Bintang Mersada,121101,1211,7.82,0,25,2023,2.7624692,98.3187367
Jumatakkar,Dusun 5,Bintang Mersada,121101,1211,5.92,0,28,2023,2.7669250,98.3235892 
Kampung Karo,"Dusun 1, 2 dan 3",Huta Rakyat,121101,1211,41.69,0,27,2023,2.7556936,98.3023122
Huta Raja,Dusun 4,Huta Rakyat,121101,1211,9.11,0,20,2023,2.7543992,98.2900233 
Simpang Tiga,Dusun 5,Huta Rakyat,121101,1211,19.17,0,18,2023,2.7546864,98.2834272
Juma Sianak,Dusun 6,Huta Rakyat,121101,1211,4.11,0,33,2023,2.7530272,98.2813644 
Kalang Simbara,Dusun 1 dan 2,Kalang Simbara,121101,1211,8.27,0,29,2023,2.7533206,98.3220158 
Kalang Simbara II,Dusun 3,Kalang Simbara,121101,1211,1.90,0,23,2023,2.7533208,98.3360044 
Huta Rih,Dusun 4,Kalang Simbara,121101,1211,1.94,0,23,2023,2.7552228,98.3169144 
Ujung Baho,Dusun 5,KalangSimbara,121101,1211,2.28,0,19,2023,2.7494692,98.3216489 
Kalang Simbara I,Dusun 6 dan 7,Kalang Simbara,121101,1211,11.79,0,18,2023,2.7454778,98.3270531 
Makam Pahlawan,Lingkungan 10,Batang Beruh,121101,1211,19.71,0,24,2023,2.7340389,98.3362614 
Sopo Sahat Martua,Lingkungan 12,BatangBeruh,121101,1211,23.24,0,27,2023,2.7331464,98.3452428 
Panji Dabutar,Lingkungan 5 Puri Asri Laembulan,Panji Dabutar,121115,1211,12.36,0,32,2023,2.7089758,98.3424414
Sitinjo,"Dusun 1,2 dan 3",Sitinjo,121115,1211,4.42,0,26,2023,2.7210900,98.3632411
Berampu,"Dusun 1,2,3,4 dan 5",Berampu,121113,1211,5.48,0,29,2023,2.7547394,98.2679858
Banjar Toba,Dusun 1,Banjar Toba,121113,1211,3.12,0,28,2023,2.7470306,98.2574222
Karing,Dusun 1 dan 2,Karing,121113,1211,6.65,0,41,2023,2.7342339,98.2803250
Parbuluan I,Dusun 1,Parbuluan I,121110,1211,5.14,0,26,2023,2.6067219,98.5069731
Parbuluan IV,Dusun 2,Parbuluan IV,121110,1211,6.81,0,25,2023,2.6591044,98.4446697
Lae Hole I,"Dusun 1, 2 dan 3",Lae Hole I,121110,1211,5.23,0,27,2023,2.6812736,98.4151711
Bangun,"Dusun 1,2 dan",Bangun,121110,1211,9.85,0,17,2023,2.7041075,98.3987411
Pegagan Julu I,Dusun 3,Pegagan Julu I,121102,1211,6.84,0,23,2023,2.7420233,98.3957958
Silalahi I,Dusun 1,Silalahi I,121114,1211,1.24,0,33,2023,2.8014642,98.5262858
Silalahi I A,Dusun 1,Silalahi I,121114,1211,2.70,0,32,2023,2.7982981,98.5268364
Silalahi I B,Dusun 4,Silalahi I,121114,1211,0.94,0,37,2023,2.8002697,98.5256450
Silalahi III,"Dusun 1, 2 dan 3",Silalahi III,121114,1211,1.11,0,29,2023,2.8037567,98.5284089
Paropo I,Dusun 1 2 dan 4,Paropo I,121114,1211,5.49,0,39,2023,2.8662297,98.5215344
Paropo,Dusun 2,Paropo,121114,1211,1.22,0,20,2023,2.8529114,98.5248953
Lae Pangaroan I,Dusun 1,Lae Pangaroan,121105,1211,1.00,0,32,2023,2.8426442,98.0940081
Lae Pangaroan,Dusun 2 dan 4,Lae Pangaroan,121105,1211,1.43,0,20,2023,2.8477675,98.0946983
Siratah,Dusun Duku,Siratah,121105,1211,2.76,0,27,2023,2.8422528,98.1424008
Sempung Polling I,Dusun 1,Sempung Polling,121111,1211,0.61,0,19,2023,2.7746989,98.1909475
Sempung Polling,Dusun 2,Sempung Polling,121111,1211,0.88,0,35,2023,2.7774908,98.1887714
Kaban Julu,"Dusun 1, 2 dan 4",Kabanjulu,121111,1211,1.50,0,33,2023,2.7805233,98.2429819
Sumbul,Dusun 3,Sumbul,121111,1211,1.16,0,38,2023,2.7647069,98.2530583
Soban,Dusun 1 dan 2,Soban,121104,1211,3.61,0,33,2023,2.8576061,98.1946825
Kuta Tengah,Dusun 3,Kuta Tengah,121107,1211,4.24,0,23,2023,2.7866447,98.2807369
Kuta Tengah I,Dusun 3,Kuta Tengah,121107,1211,1.09,0,20,2023,2.7848019,98.2873322
Pandan,Dusun 1,Pandan,121107,1211,5.43,0,32,2023,2.8704942,98.2177347
Sipoltong,Dusun 1 dan 2,Sipoltong,121107,1211,2.51,0,24,2023,2.8696672,98.2478253
Sipoltong I,Dusun 1 dan 2,Sipoltong,121107,1211,2.82,0,29,2023,2.8650869,98.2492039
Tualang,Dusun 1 dan 3,Tualang,121107,1211,0.98,0,43,2023,2.8316367,98.2329322
Lau Mil,Dusun 1 dan 4,Lau Mil,121103,1211,8.42,0,20,2023,2.9146728,98.1928578
Juma Gerat,"2 dan Dusun 1,2,3",Juma Great,121103,1211,1.12,0,33,2023,2.8945247,98.3058456
Lau Molgap,Dusun 1,Lau Molgap,121103,1211,2.42,0,37,2023,2.8899106,98.1589
Ujung Teran,"Dusun 1,2 dan 3",Ujung Teran,121103,1211,2.33,0,32,2023,2.8745297,98.3052625
Gunung Sitember,Dusun Kampung Dalam ,Gunung Sitember,121112,1211,10.35,0,27,2023,2.9432217,98.1670628
Batu Gun- Gun,Dusun Barisan Baru,Batu Gun- Gun,121112,1211,8.45,0,25,2023,2.9410556,98.1873775
Tupak Raja,Dusun 2/Rante Besi,Tupak Raja,121112,1211,15.41,0,27,2023,2.9708092,98.1606903
Tupak Raja I,Dusun 2,Tupak Raja,121112,1211,1.28,0,29,2023,2.9647231,98.1655517
Kendit Liang,Dusun 1 dan 2,Kendit Liang,121112,1211,2.45,0,33,2023,2.9283289,98.1463422
Kendit Liang I,Dusun 3,Kendit Liang,121112,1211,1.24,0,34,2023,2.93021,98.1452633
Bandar Huta Usang,Dusun 1 dan 2,Bandar Huta Usang,121109,1211,5.90,0,25,2023,2.8153731,98.3843136
Lingga Raja II,Dusun Kebun Sibabi 2,Lingga Raja II,121109,1211,5.53,0,24,2023,2.8443194,98.4081522
Huta Usang,Dusun Komplek Inpres,Kuta Usang,121109,1211,1.64,0,22,2023,2.8530714,98.3811844
Pamah,Dusun 1,Pamah,121106,1211,3.68,0,38,2023,3.0296247,98.1259047
Pamah I,Dusun 2,Pamah,121106,1211,1.02,0,28,2023,3.0280633,98.1273669
Pamah Ii,Dusun 3,Pamah,121106,1211,0.62,0,21,2023,3.0268328,98.1233347
Kuta Buluh,Dusun Lau Betin,Kuta Buluh,121106,1211,0.41,0,44,2023,3.0480281,98.1434147
Lau Tawar,"Dusun 1,2 dan 3",Lau Tawar,121106,1211,5.99,0,31,2023,2.9812561,98.1643311
Barisan Gereja Simpang Tolu,Dusun 1 dan 6,Sopobutar,121108,1211,9.08,0,22,2023,2.8654478,98.0805861
"Barisan Nauli, Sopobutar Sada",Dusun 2 dan 5,Sopobutar,121108,1211,2.30,0,16,2023,2.8661578,98.0759697
Barisan Simbolon Gumpar,Dusun 4,Pardomuan,121108,1211,0.90,0,29,2023,2.8931644,98.0426992
Barisan Simbolon Gumpar I,Dusun 5,Pardomuan,121108,1211,1.74,0,35,2023,2.8984892,98.0401519
Barisan Sirait Malim I,Dusun 2 dan 3,Pardomuan,121108,1211,4.30,0,30,2023,2.8866653,98.0508156
Cinta Maju Bulaga,Dusun 3,Sopobutar,121108,1211,1.83,0,18,2023,2.8679536,98.0698761
Cinta Maju Bulaga I,Dusun 4,Sopobutar,121108,1211,1.78,0,22,2023,2.8693361,98.0673086
Huta Karangan,Dusun 1,Janji,121108,1211,2.15,0,36,2023,2.85622,98.1451531
Jambur Indonesia,"Dusun 1, 2, 3, 4, 5, 6",Jambur Indonesia,121108,1211,0.81,0,29,2023,2.8705369,98.0937097
Lae Gadong Tombak,Dusun 8,Janji,121108,1211,4.80,0,35,2023,2.8653022,98.1213836
Pardamean,Dusun 9,Janji,121108,1211,4.06,0,30,2023,2.8653022,98.1213836
Pardomuan,Dusun 6 dan 7,Pardomuan,121108,1211,7.51,0,40,2023,2.9066061,98.0514625
Pardomuan I,Dusun 1,Pardomuan,121108,1211,1.66,0,30,2023,2.9070081,98.0566811
,,,,,,,,,,
13. TOBA,,,,,,,,,,
Pardede Onan,"Lingkungan 2, 3, 4, 5",Pardede Onan,121201,1212,18.66,2111,22,2023,2.3337130,99.0639833
Sangkar Nihuta,"Lingkungan 1, 3",Sangkar Nihuta,121201,1212,9.05,1051,20,2023,2.3316859,99.0597589
Napitupulu Bagasan,"Lingkungan 1, 2, 3, 4, 5, 6, 7",Napitupulu Bagasan,121201,1212,16.11,2470,16,2023,2.3353883,99.0668692
Lumban Bul Bul,"Lingkungan 1, 2, 3, 4",Lumban Bul Bul,121201,1212,3.53,1024,17,2023,2.3478278,99.0739750
Lumban Dolok Hauma Bange,Lingkungan 1,Lumban Dolok Hauma Bange,121201,1212,1.09,889,18,2023,2.3323328,99.0649736
Balige III,"Lingkungan 1, 2, 3, 4",Balige III,121201,1212,16.73,1923,21,2023,2.3325484,99.0678520
Balige I,"Lingkungan 3, 4",Balige I,121201,1212,2.92,720,19,2023,2.3337669,99.0717261
Sibolahotang SAS,"Lingkungan 2, 3, 4",Sibolahota Ng Sas,121201,1212,8.26,1435,22,2023,2.3358167,99.0766917
Janji Maria,"Lingkungan 1, 3",Janji Maria,121201,1212,6.26,915,19,2023,2.3381625,99.0818964
Tambunan Lumban Pea,"Lingkungan 1, 2, 3, 4, 5",Tambunan Lumban Pea,121201,1212,6.76,1618,19,2023,2.3485019,99.1009947
Tambunan Lumban Pea Timur,"Lingkungan 1, 2, 3, 4",Tambunan Lumban Pea Timur,121201,1212,4.69,1024,20,2023,2.3465750,99.1071942
Gurgur Aek Raja,"Lingkungan 1, 2, 3, 4",Gurgur Aek Raja,121222,1212,12.07,1611,18,2023,2.3243964,99.0134483
Lintong Nihuta,"Lingkungan 1, 2, 3, 4, 5, 6, 7",Lintong Nihuta,121222,1212,11.82,1114,21,2023,2.3400183,99.0179225
Meat,"Lingkungan 1, 2, 3",Meat,121222,1212,4.55,762,22,2023,2.3218023,99.0025528
Tarabunga,"Lingkungan 1, 2, 3, 4",Tarabunga,121222,1212,2.42,527,18,2023,2.3501883,99.0254881
Narumonda V,"Lingkungan 1, 2, 3",Narumonda V,121220,1212,4.82,976,21,2023,2.4198445,99.1751334
Narumonda I,"Lingkungan 1, 2, 3",Narumonda I,121220,1212,5.17,732,19,2023,2.4241834,99.1791778
Narumonda IV,"Lingkungan 1, 2, 3",Narumonda IV,121220,1212,4.11,826,20,2023,2.4353972,99.1670584
Naga Timbul,"Lingkungan 1, 2",Naga Timbul,121223,1212,3.24,453,23,2023,2.4874944,99.1429272
Lumban Lobu,"Lingkungan 1, 2",Lumban Lobu,121223,1212,2.83,554,18,2023,2.5154833,99.1335030
Sihiong,"Lingkungan 1, 2, 3",Sihiong,121223,1212,3.89,835,18,2023,2.5287931,99.1019992
Silaen,"Lingkungan 1, 2, 3",Silaen,121203,1212,4.39,861,17,2023,2.3886483,99.2059397
Sinta Dame,"Lingkungan 1, 2",Sinta Dame,121203,1212,3.70,617,21,2023,2.3819992,99.2131142
Lumban Dolok,"Lingkungan 1, 2, 3, 4",Lumban Dolok,121203,1212,2.17,681,20,2023,2.3790128,99.2064386
Huta Namora,"Lingkungan 1, 2, 3, 4, 5",Huta Namora,121203,1212,7.42,1401,18,2023,2.3986775,99.1917039
Napitupulu Silaen,"Lingkungan 1, 2, 3, 4",Napitupulu Silaen,121203,1212,4.17,572,19,2023,2.3581278,99.2069639
Huta Gurgur I,"Lingkungan 1, 2 , 3",Huta Gurgur I,121203,1212,3.96,469,17,2023,2.4114725,99.2081170
Pintu Pohan,"Lingkungan 1, 2, 3",Pintu Pohan,121205,1212,4.90,1141,19,2023,2.5200500,99.2599194
Pasar Borbor,Lingkungan 1,Pasar Borbor,121206,1212,2.48,679,19,2023,2.2299556,99.2844222
Lumban Rau Tengah,"Lingkungan 1, 2, 3",Lumban Rau Tengah,121221,1212,4.81,866,22,2023,2.2769500,99.4042194
Sitangkola,"Dusun I, II, III",Sitangkola,121202,1212,2.79,290,27,2023,2.3491389,99.1259999
Simatibung,"Dusun I, II, III, VII",Simatibung,121202,1212,5.78,752,28,2023,2.3529111,99.1319250
Sibuea,"Dusun I, II, III, VI, VII",Sibuea,121202,1212,7.17,687,28,2023,2.3668000,99.1280306
Pardomuan Nauli,Dusun I,Pardomuan Nauli,121202,1212,5.14,508,18,2023,2.3600556,99.1346139
Op.Raja Hutapea,Dusun II,Op. Raja Hutapea,121202,1212,2.81,502,26,2023,2.3562056,99.1259250
Op.Raja Hutapea Timur,Dusun I,Op. Raja Hutapea Timur,121202,1212,4.43,371,20,2023,2.3609417,99.1331139
Lumban Bagasan,Dusun I,Lumban Bagasan,121202,1212,5.93,469,21,2023,2.3607194,99.1229056
Hatulian,"Dusun I, II, III",Hatulian,121202,1212,3.94,521,19,2023,2.3705944,99.1140333
Pasar Laguboti,"Lingkungan I, II, III",Pasar Laguboti,121202,1212,3.25,269,22,2023,2.3532000,99.1268278
Sibarani Nasampulu,"Dusun III, IV",Sibarani Nasampulu,121202,1212,8.56,731,22,2023,2.3489611,99.1306778
Pasar Lumban Julu,Dusun I,Pasar Lumban Julu,121209,1212,1.28,109,21,2023,2.5768194,99.0599306
Aek Natolu Jaya,Dusun IV,Aek Natolu Jaya,121209,1212,1.87,164,20,2023,2.6106639,99.0077833
Sionggang Utara,"Dusun II, IV",Sionggang Utara,121209,1212,1.23,368,24,2023,2.5865528,99.0450833
Lintong Julu,"Dusun I, II, III",Lintong Julu,121209,1212,6.52,789,23,2023,2.5735389,99.0623306
Siantar Utara,Dusun III,Siantar Utara,121224,1212,1.07,207,22,2023,2.4642278,99.2195083
Pangombusan,Dusun II,Pangombus An,121224,1212,1.39,596,21,2023,2.4635944,99.1880972
Lumban Sitorus,Dusun I,Lumban Sitorus,121224,1212,3.36,226,17,2023,2.4606389,99.1669222
Lumban Manurung,"Dusun I, II",Lumban Manurung,121224,1212,4.30,352,50,2023,2.4555556,99.1607139
Patane I,Dusun I,Patane I,121207,1212,2.09,238,28,2023,2.4705583,99.1415306
Patane III,"Lingkungan I, II, III",Patane III,121207,1212,9.70,322,20,2023,2.4470833,99.1535083
Pasar Porsea,"Lingkungan I, III, IV",Pasar Porsea,121207,1212,5.65,1111,21,2023,2.4448306,99.1553917
Parparean II,Dusun I,Parparean III,121207,1212,6.30,389,21,2023,2.4528278,99.1553944
Parparean III,Lingkungan I,Parparean III,121207,1212,1.77,703,21,2023,2.4412000,99.1577278
Situa Tua,"Dusun I, II, III",Situa-Tua,121219,1212,7.80,501,33,2023,2.4055583,99.1620639
Sigumpar Barat,"Dusun I, II, III",Sigumpar Barat,121219,1212,3.03,241,31,2023,2.3958611,99.1576361
Sigumpar,Dusun II,Sigumpar,121219,1212,1.64,133,41,2023,2.3981083,99.1614194
Partoruan Janji Matogu,Dusun I,Partoruan Janji Matogu,121210,1212,3.88,119,24,2023,2.4306611,99.1164111
Pardamean Ajibata,"Dusun IV, V",Pardamean Ajibata,121208,1212,2.95,402,22,2023,2.6570833,98.9367333
Parsaoran Ajibata,"RW01-RT01, RW01-RT02, RW01-RT03",Parsaoran Ajibata,121208,1212,5.21,940,18,2023,2.6571528,98.9527806
Parsoburan Tengah,"Lingkungan I, V, VI, VII, VIII, IX",Parsoburan Tengah,121204,1212,18.11,1230,24,2023,2.3335917,99.3304722
,,,,,,,,,,
14. TANJUNG BALAI,,,,,,,,,,
Beting Kuala Kapias,"LK-001, LK-007",Beting Kuala Kapias,127404,1274,8.15,2131,22,2022,2.9752850,99.8036089
Pematang Pasir,LK-006,Pematang Pasir,127404,1274,13.51,761,33,2022,2.9997308,99.8058047
Kapias Pulau Buaya,"LK-001, LK-004, LK-005",Kapias Pulau Buaya,127404,1274,24.35,2527,23,2022,2.9856714,99.7996825
Perjuangan,"LK-001, LK-002, LK-004",Perjuangan,127404,1274,8.47,2902,26,2022,2.9995692,99.8122656
Sei Merbau,"LK-003, LK-004",Sei Merbau,127404,1274,8.27,3912,23,2022,2.9952819,99.8010414
Bunga Tanjung,"LK-005, LK-006",Bunga Tanjung,127406,1274,13.34,1715,17,2022,2.9418142,99.8012306
Pulau Simardan,"LK-007, LK-008, LK-009, LK-010, LK-011, LK-012",Pulau Simardan,127406,1274,3.7,3789,23,2022,2.9580364,99.8066056
Selat Tanjung Medan,LK- 006,Selat Tanjung Medan,127406,1274,16.1,295,29,2022,2.9576814,99.8201764
Semula Jadi,"LK- 001, LK- 002, LK- 003, LK- 004, LK- 005, LK- 006, LK- 008, LK- 009",Semula Jadi,127406,1274,17.01,2472,23,2022,2.9603500,99.8105869
Gading,LK 006,Gading,127405,1274,9.28,695,19,2022,2.9476953,99.7915603
Pahang,LK 003,Pahang,127405,1274,12.17,1329,21,2022,2.9431411,99.7763375
Pantai Johor,"LK 001, LK 003, LK 004",Pantai Johor,127405,1274,6.05,2609,25,2022,2.9676486,99.7747075
Sijambi,"LK-003, LK-010",Sijambi,127405,1274,17.15,1600,23,2022,2.9449386,99.7597356
Sirantau,"LK-001, LK-002, LK-003, LK-005",Sirantau,127405,1274,25.6,5039,19,2022,2.9544681,99.7900369
Selat Lancang,"LK-001, LK-003",Selat Lancang,127406,1274,13.22,2263,20,2022,2.9556642,99.8003219
Keramat Kubah,"LK-001, LK-002, LK-005",Keramat Kubah,127403,1274,2.99,2324,24,2022,2.9738600,99.8066283
Pasar Baru,"LK-001, LK-002, LK-003, LK-005",Pasar Baru,127403,1274,22.26,4443,18,2022,2.9729708,99.7967156
Sei Raja,"LK- 001, LK- 002, LK- 006",Sei Raja,127403,1274,13.22,932,25,2022,2.9866658,99.7848847
Sumber Sari,LK- 007,Sumber Sari,127403,1274,2.66,881,19,2022,2.9792944,99.7999047
Muara Sentosa,LK- 005,Muara Sentosa,127403,1274,6.06,905,26,2022,2.9808558,99.7942853
Kuala Silau Bestari,"LK- 004, LK- 005",Kuala Silau Bestari,127402,1274,1.75,1183,29,2022,2.9719303,99.8059386
Mata Halasan,LK- 001,Mata Halasan,127402,1274,1.31,862,30,2022,2.9699250,99.8043494
Sejahtera,"LK- 001, LK- 002, LK- 003, LK- 004, LK- 005, LK- 006, LK- 008, LK- 009",Sejahtera,127402,1274,1.65,3166,26,2022,2.9716089,99.7970972
Tanjungbalai Kota III,"LK- 002, LK- 003, LK- 004, LK- 005",Tanjungbalai kota III,127402,1274,1.74,2658,26,2022,2.9687353,99.8007222
Tanjungbala Kota IV,LK-001,Tanjungbalai kota IV,127402,1274,2.09,749,19,2022,2.9722944,99.8028450
Tanjungbalai Kota II,"LK-002, LK-003",Tanjungbalai kota II,127401,1274,6.39,4030,24,2022,2.9602369,99.7979953
Pantai Burung,"LK-001, LK-004, LK-005",Pantai Burung,127401,1274,14.26,3699,18,2022,2.9655208,99.8026036
,,,,,,,,,,
15. ASAHAN,,,,,,,,,,
Bunut Barat 1,Lingkungan 1,Bunut Barat,120919,1209,5.6,1794,20,2022,3.052170,99.354895
Bunut Barat 2,Lingkungan 2,Bunut Barat,120919,1209,8.97,1251,19,2022,3.125700,99.354244
Bunut Barat 3,Lingkungan 3,Bunut Barat,120919,1209,47.27,1870,19,2022,3.055670,99.352369
Bunut Barat 4,Lingkungan 4,Bunut Barat,120919,1209,24.87,1015,17,2022,3.136200,99.345323
Dadi Mulyo 1,Lingkungan 1,Dadi Mulyo,120919,1209,2.85,630,16,2022,2.593611,99.354689
Dadi Mulyo 2,Lingkungan 2,Dadi Mulyo,120919,1209,5.66,1011,18,2022,2.592624,99.352257
Dadi Mulyo 5,Lingkungan 5,Dadi Mulyo,120919,1209,1.75,624,16,2022,2.595011,99.351847
Dadi Mulyo 6,Lingkungan 6,Dadi Mulyo,120919,1209,1.3,532,16,2022,2.593234,99.344553
Dadi Mulyo 7,Lingkungan 7,Dadi Mulyo,120919,1209,2.12,791,23,2022,2.595424,99.345556
Kisaran Barat 2,Lingkungan 2,Kisaran Barat,120919,1209,1.78,863,18,2022,2.584939,99.373490
Kisaran Barat 4,Lingkungan 4,Kisaran Barat,120919,1209,1.72,619,17,2022,2.585060,99.371442
Mekar Baru 1,Lingkungan 1,Mekar Baru,120919,1209,1.01,508,17,2022,2.985826,99.624757
Mekar Baru 3,Lingkungan 3,Mekar Baru,120919,1209,0.51,480,16,2022,2.986998,99.612722
Mekar Baru 6,Lingkungan 6,Mekar Baru,120919,1209,0.6,147,16,2022,2.989214,99.618189
Sei Renggas 1,Lingkungan 1,Sei Renggas,120919,1209,8.06,935,19,2022,2.573869,99.353395
Sei Renggas 2,Lingkungan 2,Sei Renggas,120919,1209,18.31,1832,16,2022,2.573968,99.354555
Sei Renggas II,Lingkungan 4,Sei Renggas,120919,1209,8.24,1339,19,2022,2.580940,99.354959
Sei Renggas II,Lingkungan 6,Sei Renggas,120919,1209,4.13,512,18,2022,2.585843,99.354502
Sendang Sari 1,Lingkungan 1,Sendang Sari,120919,1209,1.26,1721,17,2022,2.584453,99.365002
Sendang Sari 2,Lingkungan 2,Sendang Sari,120919,1209,0.87,2173,18,2022,2.584250,99.365118
Sendang Sari 3,Lingkungan 3,Sendang Sari,120919,1209,1.55,774,17,2022,2.585708,99.365958
Sidodadi II,Lingkungan 1,Sidodadi,120919,1209,3.85,515,16,2022,2.591201,99.345106
Sidodadi III,Lingkungan 5,Sidodadi,120919,1209,6.75,383,19,2022,2.598570,99.352842
Sidodadi IV,Lingkungan 6,Sidodadi,120919,1209,3.96,606,19,2022,2.591305,99.353982
Sidomukti 1,Lingkungan 3,Sidomukti,120919,1209,7.06,1468,21,2022,2.999509,99.365289
Sidomukti 2,Lingkungan 5,Sidomukti,120919,1209,6.7,726,20,2022,2.585843,99.363991
Tebing Kisaran,Lingkungan 4,Tebing Kisaran,120919,1209,1.65,515,16,2022,2.583034,99.374482
