Kelurahan(village_id),Kecamatan(district_id),Kabupaten/Kota(region_id),Alokasi Unit(unit_count),Tahun(year_given),Status,Latitude,Longitude
1215082001,121508,1215,15,2025,Selesai,2.5499843345211812,98.40698104369741
1215082004,121508,1215,15,2025,Selesai,2.5459712517831323,98.44424686034857
1215082003,121508,1215,9,2025,Selesai,2.578907070078608,98.42803369628335
1215082005,121508,1215,21,2025,Selesai,2.61383917619477,98.40272632271768
1215082006,121508,1215,12,2025,Selesai,2.5570178440022877,98.36469027832385
1201112004,121504,1215,15,2025,Selesai,2.6220604996335943,98.31881762065964
1202012027,120201,1202,10,2025,Selesai,2.1012911870249353,99.0071262823125
1202012025,120201,1202,10,2025,Selesai,2.103516958092538,98.99411832199229
1202142008,120214,1202,20,2025,Selesai,2.0387771509620247,99.40818800642235
1202142012,120214,1202,10,2025,Selesai,1.982354131508798,99.28269286859786
1202012025,120209,1202,11,2025,Selesai,2.2210893591129253,98.94485386180713
1202092013,120209,1202,11,2025,Selesai,2.2298431779578016,99.09062362245413
1202091001,120209,1202,8,2025,Selesai,2.2149813477330493,98.98187349140122
1212022019,120205,1202,10,2025,Selesai,1.8392003809463617,99.09570400953092
1202052019,120205,1202,10,2025,Selesai,1.9292493376589588,99.0652622473271
1202062011,120206,1202,11,2025,Selesai,1.841608004868981,99.20209026728004
1202102008,120210,1202,11,2025,Selesai,2.182833579019761,98.92340587542508
1202102004,120210,1202,10,2025,Selesai,2.155096467295316,98.93037052555002
1202022011,120202,1202,10,2025,Selesai,1.9837670805092036,99.02835125047625
1202042009,120204,1202,10,2025,Selesai,2.072339108672554,98.9089237288536
1202072003,120207,1202,10,2025,Selesai,1.6850910428640051,99.18286489326508
1201071001,120212,1202,10,2025,Selesai,2.1800415931394683,99.15157787370107
1202082005,120208,1202,10,2025,Selesai,2.3322685521008144,98.9123040812375
1202152010,120215,1202,10,2025,Selesai,2.3313580875785918,98.92366779646102
1212012031,121201,1212,10,2025,Selesai,2.3053894969903403,99.11206165458992
1212011034,121201,1212,10,2025,Selesai,2.3275591117923744,99.07552398164508
1212222004,121222,1212,10,2025,Selesai,2.3134981379218007,99.01996802718644
1212022019,121202,1212,10,2025,Selesai,2.381929312405046,99.14604703678607
1212022003,121202,1212,10,2025,Selesai,2.313692152599695,99.17372410513306
1212202008,121220,1212,10,2025,Selesai,2.4239499071009822,99.20131529022333
1212202003,121220,1212,10,2025,Selesai,2.4332524813552827,99.1800631105999
1212202002,121220,1212,10,2025,Selesai,2.4320550317378493,99.18418022880358
1201112004,121203,1212,10,2025,Selesai,2.343892709459351,99.22035574884904
1212032003,121203,1212,10,2025,Selesai,2.3760065402847936,99.23200554710644
1212032006,121203,1212,10,2025,Selesai,2.3580814111850614,99.2351602117852
1212072031,121207,1212,10,2025,Selesai,2.434547423594813,99.15812638186205
1212071039,121207,1212,10,2025,Selesai,2.4397247222702196,99.15087501297427
1212072033,121207,1212,10,2025,Selesai,2.4396685680442403,99.15829791176601
1212072030,121207,1212,10,2025,Selesai,2.446731392629069,99.16313639366182
1212072023,121207,1212,10,2025,Selesai,2.5176988380595082,99.15228734604162
1212232013,121223,1212,10,2025,Selesai,2.521631127734824,99.12754248395046
1212232007,121223,1212,10,2025,Selesai,2.520811013513461,99.16182833989438
1212052002,121205,1212,10,2025,Selesai,2.529466758355462,99.42991631484747
1212212003,121221,1212,10,2025,Selesai,2.294674734327374,99.4181256965521
1271101006,127110,1271,12,2025,Selesai,3.57997266606667,98.69616178851861
1271101008,127110,1271,10,2025,Selesai,3.5752366833647793,98.69324639811438
1271081005,127108,1271,32,2025,Selesai,3.7612805500687827,98.65168489218873
1271081001,127108,1271,10,2025,Selesai,3.7860480177717593,98.68783592084083
1271081006,127108,1271,17,2025,Selesai,3.7836960384608473,98.70939997783036
1271081002,127108,1271,13,2025,Selesai,3.777003807164946,98.68757822434165
1219062017,127118,1271,7,2025,Selesai,3.593887119014709,98.70389505181838
1271121002,127112,1271,12,2025,Selesai,3.706646071561583,98.66511252781473
1271121003,127112,1271,19,2025,Selesai,3.705805800108263,98.63836170267825
1271121001,127112,1271,11,2025,Selesai,3.738274629824675,98.6686536640197
1271131001,127113,1271,24,2025,Selesai,3.7416619763348575,98.67615947541722
1271131005,127113,1271,20,2025,Selesai,3.751802972009542,98.68723827966348
1276051005,127605,1276,19,2025,Selesai,3.3344247779455674,99.15735090438925
1220042012,127602,1276,3,2025,Selesai,3.3454686004229517,99.16182694946396
1276021012,127602,1276,21,2025,Selesai,3.35155356548783,99.17859634574404
1276021013,127602,1276,1,2025,Selesai,3.3704794418164665,99.17116146285339
1276021007,127602,1276,1,2025,Selesai,3.342095997805228,99.15023479019986
1276011006,127601,1276,9,2025,Selesai,3.313576645550316,99.15452416973318
1211072008,127601,1276,13,2025,Selesai,3.3119615856078153,99.1483675559732
1276011012,127601,1276,10,2025,Selesai,3.3136095930645393,99.14098475845552
1276041004,127604,1276,5,2025,Selesai,3.3439570334338824,99.14063925842262
1201022007,127604,1276,2,2025,Selesai,3.320635446963211,99.14348314813562
1276031002,127603,1276,11,2025,Selesai,3.347328527982601,99.18485825845592
1275021002,127603,1276,3,2025,Selesai,3.3317803100356356,99.16948301576525
1201182002,127603,1276,4,2025,Selesai,3.321149828876313,99.1801993157652
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,1984,,,,
