Kawasan (area),Lingkungan (environment),Kelurahan (villages),Kecamatan (district_id),Kabupaten/Kota (region_id),Total Luas (total_area),Total Penduduk (total_population),Tingkat Kekumuhan (slum_value),Latitude,Longitude
Bane 6,RT002-RW005,Bane,127203,1272,0.56,170,23,2.97391,99.05936
Bane 7,RT003-RW006,Bane,127203,1272,1.42,154,22,2.97281,99.05748
Bane 8,RT003-RW007,Bane,127203,1272,2.72,154,22,2.97206,99.05483
Bane 9,RT003-RW008,Bane,127203,1272,2.05,335,30,2.97116,99.05518
Bane 10,RT004-RW008,Bane,127203,1272,2.28,321,32,2.97521,99.06093
Naga Pitu 1,RT001-RW003,Naga Pitu,127206,1272,0.70,176,22,2.97709,99.07808
Naga Pitu 2,RT002-RW003,Naga Pitu,127206,1272,0.33,143,22,2.97698,99.07857
Naga Pitu 3,RT003-RW003,Naga Pitu,127206,1272,0.49,184,21,2.9778,99.07833
Sigulang Gulang 1,RT001-RW005,Sigulanggulang,127203,1272,0.96,271,17,2.97511,99.0659
Sigulang Gulang 2,RT002-RW005,Sigulanggulang,127203,1272,1.71,221,17,2.97640,99.06399
Sigulang Gulang 3,RT003-RW005,Sigulanggulang,127203,1272,2.21,365,17,2.97646,99.06325
